"","State","County","Year","annual_median_income","prevalence_asthma_adults_age_adjusted","COPD_deaths_age_adjusted","percent_educ","percent_female","percent_no_leisure","percent_nonwhite","percent_obesity","percent_poverty","smoking_crude"
"1","Alabama","Autauga",2018,59338,10.2,76.3,88.7,51.3,26.4,23.2,35.5,13.8,19.4
"2","Alabama","Autauga",2019,58233,9.7,73.6,82.3,51.4,32.2,23.8,35.3,12.1,19.3
"3","Alabama","Baldwin",2018,57588,9.6,73.2,90.3,51.5,23.5,12.6,29.4,9.8,17.5
"4","Alabama","Baldwin",2019,59871,8.9,77.7,82.7,51.5,27.6,12.6,29.6,10.1,18.9
"5","Alabama","Barbour",2018,34382,11.7,86,73,47.1,36.8,51.1,40.8,30.9,24.5
"6","Alabama","Barbour",2019,35972,11.1,83.7,70.8,47.2,41.6,51.1,40.4,27.1,26.9
"7","Alabama","Bibb",2018,46064,10.3,69.2,83.2,46.7,31.2,23.2,38.4,21.8,22.7
"8","Alabama","Bibb",2019,47918,9.9,65,78.2,46.8,37.7,23.4,41.2,20.3,24.9
"9","Alabama","Blount",2018,50412,10.2,100.9,80.2,50.6,30.1,4.1,33.7,13.2,22.1
"10","Alabama","Blount",2019,52902,9.7,89.5,79.6,50.6,33.3,4.2,38.7,16.3,21.5
"11","Alabama","Bullock",2018,29267,11.8,66.8,75.2,45.6,38.1,73.6,45.6,42.5,24.4
"12","Alabama","Bullock",2019,31906,10.8,58.3,73.8,45.3,41.3,73.5,43.8,30,25
"13","Alabama","Butler",2018,37365,11.6,92.4,84.6,53.4,35.6,47.8,41.4,24.5,21.4
"14","Alabama","Butler",2019,39944,10.9,69,83.3,53.5,40.7,47.9,39.7,21.6,23.2
"15","Alabama","Calhoun",2018,45400,11.2,132.7,84.1,51.9,29.3,24.9,41,19.5,20.4
"16","Alabama","Calhoun",2019,47747,10,124.3,82,51.9,32.6,25.2,35.9,17.2,21.8
"17","Alabama","Chambers",2018,39917,11.2,89.5,81.4,52.1,32.7,43,39.1,18.7,22
"18","Alabama","Chambers",2019,42015,10.5,84.9,79.6,52.1,36.9,43.1,39.5,19.6,22.4
"19","Alabama","Cherokee",2018,42132,10.5,131.4,80.2,50.5,30.9,7,38.7,16.3,21.8
"20","Alabama","Cherokee",2019,45982,10.1,118.1,80.8,50.6,36,6.9,34.3,15.9,23
"21","Alabama","Chilton",2018,47547,10.7,75.3,82.2,50.9,33,12.9,40.1,17.3,22.8
"22","Alabama","Chilton",2019,49692,9.8,80,80.3,51,35.3,13,39.2,16,23.4
"23","Alabama","Choctaw",2018,39907,11.5,60.4,81.4,52.7,34,42.8,42.7,22.1,21.4
"24","Alabama","Choctaw",2019,39808,10.9,64.8,80.6,52.8,37.8,42.7,39.7,22.6,22.6
"25","Alabama","Clarke",2018,40741,11.5,58.3,81.2,52.7,35.8,46.5,40.7,22.8,22.8
"26","Alabama","Clarke",2019,43822,11,67,79.8,52.7,39.6,47,44.4,18.4,23.4
"27","Alabama","Clay",2018,39201,11.1,103.4,75.5,51.2,32.5,16.6,35.9,17.6,23.6
"28","Alabama","Clay",2019,40562,10.6,101,76.6,51.2,37.1,16.7,37.1,16.6,24.1
"29","Alabama","Cleburne",2018,46495,10.5,112.1,77.4,50.6,30.4,5,36.7,16,22.9
"30","Alabama","Cleburne",2019,51276,9.9,111.7,75.8,50.9,33.6,4.9,35.6,13.3,22.7
"31","Alabama","Coffee",2018,55122,10.2,87.1,86.2,50.9,29.8,24.3,35.8,13.8,20.7
"32","Alabama","Coffee",2019,57299,9.5,101.4,81,50.7,33.3,24.3,34.6,15,20.2
"33","Alabama","Colbert",2018,49055,10.5,114.7,84.4,52.1,29.7,19.4,37.9,13.8,20.8
"34","Alabama","Colbert",2019,46683,9.7,96,82.3,52.2,33.2,19.6,35.9,14.6,20.5
"35","Alabama","Conecuh",2018,32613,11.8,84,80.8,52.2,38.6,48.3,43.4,24.4,23.8
"36","Alabama","Conecuh",2019,41539,10.9,74.3,81.8,52.4,39.5,48.2,41,22.2,23.3
"37","Alabama","Coosa",2018,42423,11.1,83.6,79.6,50,33.2,33.2,40.6,18.9,22.9
"38","Alabama","Coosa",2019,42024,10.3,84.3,77.7,49.8,34.8,33.3,39.2,17.1,22.2
"39","Alabama","Covington",2018,40203,10.9,89.5,82.9,51.6,31.4,15.4,37.6,19.9,21.9
"40","Alabama","Covington",2019,44836,10.3,80.1,80.9,51.6,35.6,15.6,36.6,17.2,23.1
"41","Alabama","Crenshaw",2018,39057,11,72.1,78.4,51.7,31.7,27.2,36.4,19.5,22
"42","Alabama","Crenshaw",2019,43309,10.4,62.3,76.5,51.4,35.6,28,35.6,16.8,22.9
"43","Alabama","Cullman",2018,45796,10.4,123,81.8,50.6,30.9,4,33.1,14.5,21.7
"44","Alabama","Cullman",2019,50897,9.8,107.6,79.9,50.6,33.6,4.1,33.2,12.2,22.5
"45","Alabama","Dale",2018,45309,10.4,76.1,85.8,50.9,30.2,26.2,43.6,16.2,20.8
"46","Alabama","Dale",2019,45120,9.7,82.4,82.7,50.8,32.9,26.3,38.1,18.1,21.3
"47","Alabama","Dallas",2018,34035,12.4,77.2,80.7,53.8,39.6,72.4,42.4,31.4,23.7
"48","Alabama","Dallas",2019,34034,11.6,89.9,81.7,53.8,41.2,72.5,47.4,26,23
"49","Alabama","DeKalb",2018,39491,11,133.8,74.1,50.4,33.5,7.2,35.2,21.3,24.3
"50","Alabama","DeKalb",2019,44277,10.2,121.8,73.7,50.3,40.5,7.3,35.3,18.2,24.5
"51","Alabama","Elmore",2018,60367,10.4,79.9,86.4,51.8,27.5,24.1,35.1,11.2,19.1
"52","Alabama","Elmore",2019,62310,9.7,76,80.8,51.7,33.1,24.3,35.8,11.4,20.2
"53","Alabama","Escambia",2018,38418,11.2,81.2,81.5,49.6,33.9,37.9,37.6,23.6,24.6
"54","Alabama","Escambia",2019,42712,10.4,77,79.8,49.8,39.1,37.8,38.7,20.5,23.8
"55","Alabama","Etowah",2018,44903,10.7,134.9,84.5,51.6,31,19.3,36.9,17.5,22.1
"56","Alabama","Etowah",2019,43047,9.9,122.4,81.8,51.6,33.9,19.4,34.5,18.8,22.5
"57","Alabama","Fayette",2018,39254,10.9,103.2,82.4,51.2,32.6,14.3,34.8,23.5,22.7
"58","Alabama","Fayette",2019,44212,10.4,98.3,80,51.2,35.4,14.4,37.1,17,23
"59","Alabama","Franklin",2018,39388,10.4,118.3,76.8,49.8,32.6,8.4,35.9,19.2,22
"60","Alabama","Franklin",2019,44874,9.5,97.6,75.9,49.9,37.2,8.3,37.9,16.1,22.4
"61","Alabama","Geneva",2018,37823,11,85.8,79.1,51.2,34.9,12.8,42.7,21.3,23.8
"62","Alabama","Geneva",2019,43089,10.2,88.5,78.4,51.3,35.4,13,35.9,16.1,24
"63","Alabama","Greene",2018,28524,13.1,78.5,75.9,53.2,39.3,82,46,30.1,24.7
"64","Alabama","Greene",2019,28699,12.7,75,80.4,53.2,45.9,81.8,47,31.7,26.2
"65","Alabama","Hale",2018,34724,12.1,76.7,83.6,52.5,36.8,59.4,45.9,25.6,22.6
"66","Alabama","Hale",2019,40745,11.5,72.8,83.5,52.6,39.5,59.5,43.8,20.5,24.3
"67","Alabama","Henry",2018,46027,10.8,70.4,80.2,51.7,30.7,28.7,35.8,17.9,21.5
"68","Alabama","Henry",2019,48597,10.2,71,77,51.7,34.9,28.7,38.5,17.2,21
"69","Alabama","Houston",2018,47993,10.9,82.8,85.7,52,31.9,31,34.8,16.5,21.6
"70","Alabama","Houston",2019,50138,10.2,82.3,80.8,52.2,35.9,31.3,40.2,19.4,21
"71","Alabama","Jackson",2018,41929,10.9,96,82.5,51,33.3,8.6,36.5,19.7,22.6
"72","Alabama","Jackson",2019,44322,10.1,86.2,80.6,50.9,35.7,8.6,38.6,14.7,23
"73","Alabama","Jefferson",2018,55013,10,78.4,89.7,52.8,27.5,46.8,34.6,16.1,18
"74","Alabama","Jefferson",2019,54127,9.8,72,83.2,52.8,30.4,47,34.2,16.2,17.2
"75","Alabama","Lamar",2018,40936,10.9,101.4,82.4,51.1,31.1,12.6,36.2,17.4,22.6
"76","Alabama","Lamar",2019,42686,10.2,108.2,81,50.9,37.1,12.5,36.4,15.3,23.2
"77","Alabama","Lauderdale",2018,48707,10.2,101.9,87.4,52,27.5,13.2,35.1,14,18.4
"78","Alabama","Lauderdale",2019,48188,9.4,97.6,82.2,52.1,30.1,13.2,32.7,15.7,19
"79","Alabama","Lawrence",2018,43909,11.2,105.3,79,51.3,29.9,21.5,35.5,19.3,23.2
"80","Alabama","Lawrence",2019,47797,10.4,93.8,78.1,51.3,35,21.6,35.5,17.7,24.6
"81","Alabama","Lee",2018,48937,9.8,88.2,90.5,50.8,26.2,29.4,33.8,19,18.5
"82","Alabama","Lee",2019,54160,9.5,81.9,83.5,50.8,29.2,29.3,33.6,15.5,17.6
"83","Alabama","Limestone",2018,64863,10.1,84.8,84.3,50,27.6,18.8,32.8,11.4,20.2
"84","Alabama","Limestone",2019,64729,9.5,77.7,77.1,50,31,19,33.7,12,20.7
"85","Alabama","Lowndes",2018,33973,12.7,72.8,77.5,52.9,37.1,74.3,45.8,25.1,25
"86","Alabama","Lowndes",2019,33930,11.8,58.7,76.1,52.9,42.8,74.2,45.8,26.6,24.3
"87","Alabama","Macon",2018,32495,12.4,77.7,81.7,54.3,35.4,82.9,48.1,30.2,20.1
"88","Alabama","Macon",2019,34281,11.7,76.7,79.5,54.4,38.6,82.7,40.4,29.3,20.4
"89","Alabama","Madison",2018,63755,9.6,87.1,91.1,51.1,25.6,31.3,33.1,11.9,16.7
"90","Alabama","Madison",2019,68609,9.6,83.4,81.1,51.1,27.8,31.1,32.5,11.5,15.7
"91","Alabama","Marengo",2018,37733,11.7,52.5,83.8,52.8,33.6,53,44.7,24,21.7
"92","Alabama","Marengo",2019,38838,10.8,68.8,82.2,52.9,39.8,53.3,43.6,24.8,22.6
"93","Alabama","Marion",2018,37887,10.7,115.6,79.7,50.5,31.5,5.9,34.9,20.2,22.6
"94","Alabama","Marion",2019,44675,10.1,116.1,77,50.5,34.2,6.1,35.9,16.9,22.8
"95","Alabama","Marshall",2018,46233,10.5,109.1,80.9,50.6,31.3,6.9,38.8,18.3,22.2
"96","Alabama","Marshall",2019,48913,9.8,95.5,76.7,50.7,36.2,7.1,38,15.7,21.9
"97","Alabama","Mobile",2018,43598,10.8,77.5,86.2,52.4,29.2,40.8,37,20.8,20.2
"98","Alabama","Mobile",2019,49492,9.7,80.1,81.9,52.4,32.1,41.1,36.4,17.7,20.8
"99","Alabama","Monroe",2018,39556,11.8,65.8,83.7,52.4,37,44.9,42.2,21.9,23.8
